823e75c5,מה מגיע לנפגעי תאונת דרכים ,correct_url
9a47a8c0,איזה תושבים זכאים לגמילה מסמים באשפוז?,https://www.kolzchut.org.il/he/אשפוזית-_גמילה_גופנית_באשפוז_לנפגעי_סמים
c92316d1,האם עובדי קבלן בתחום השמירה מקבלים קרן השתלמות?,https://www.kolzchut.org.il/he/קרן_השתלמות_לעובדי_קבלן_בתחומי_השמירה_והניקיון_בגופים_ציבוריים
59753a98,כמה כסף זכאים לקבל עובדי המדינה כתוספת מעונות עבור כל אחד משני ילדיהם הראשונים?,https://www.kolzchut.org.il/he/תוספת_מעונות_לעובדים_בשירות_המדינה
f6b50459,אפשר טלפון למוקד של נפגעי חרדה?,https://www.kolzchut.org.il/he/מוקדים_לסיוע_נפשי_מטעם_קופות_החולים_לנפגעי_טראומה_וחרדה_בעקבות_המצב_הבטחוני
ecc2fefc,האם חרדי בשירות לאומי-אזרחי זכאי לימי חופשה נוספים?,https://www.kolzchut.org.il/he/ימי_חופשה_לחרדים_המשרתים_בשירות_לאומי-אזרחי
9709211d,איזה אחוז מהעובדים בשירות המדינה צריכים להיות חרדים ?,https://www.kolzchut.org.il/he/ייצוג_הולם_לחרדים_בקרב_העובדים_בשירות_המדינה
782654b7,האם יש זכאות למלגה לילדים של ניצולי שואה,https://www.kolzchut.org.il/he/מענק_השכלה_לבני/בנות_ניצולי_שואה
7be45ce1,האם כללית צריכה לממן את טיפולי הגמגום של בני בן ה-7?,https://www.kolzchut.org.il/he/טיפולים_לילדים_עם_הפרעה_בשטף_הדיבור_(גמגום)
705026fd,מהו סכום מענק ההבראה עבור נכי צה״ל וכוחות הביטחון?,"https://www.kolzchut.org.il/he/מענק_הבראה_לנכי_צה""ל_וכוחות_הביטחון"
7cfab80d,האם גם בן הזוג יכול לקבל חופשת לידה?,https://www.kolzchut.org.il/he/סיוע_ברכישת_דירה_למקבלי_קצבת_שאירים_עם_השלמת_הכנסה
efed3273,"מהם הדברים שבני משפחה של חללי פעולת איבה שנמצאים בחו""ל זכאים","https://www.kolzchut.org.il/he/מימון_טיסה_ושהייה_בארץ_לבני_משפחה_של_חלל_פעולת_איבה_המתגוררים_בחו""ל"
f9c9cde6,נכון שהורים עצמאיים מקבלים פטור משירות במילואים?,https://www.kolzchut.org.il/he/הקלות_לחיילי_מילואים_שהם_הורים_יחידים
e1913659,עבור אילו מחלות לא צריך לשלם על התורפות ,https://www.kolzchut.org.il/he/פטור_מתשלומים_בקופות_החולים_לחולים_במחלות_קשות
e18152b3,מהם התנאים שבהם אדם עם מוגבלות בניידות זכאי לפטור מתשלום דמי היתר או דמי חכירה מהוונים על קרקע המיועדת להקמת בית מגוריו?,https://www.kolzchut.org.il/he/דחיית_תשלום_דמי_היתר_או_דמי_חכירה_מהוונים_לאנשים_עם_מוגבלות_בניידות
24acb373,מה גובה שכרו היחסי של עובד שעבד ביום הבחירות?,https://www.kolzchut.org.il/he/תשלום_עבור_עבודה_ביום_הבחירות_לכנסת
91853e4d,"הגשת בקשה לתשלומי משפחה למלש""בים","https://www.kolzchut.org.il/he/תשלומי_משפחה_(תשמ""ש)_כסיוע_כלכלי"
beffa66f,"האם אישור רופא מספיק על מנת לקבל נעליים אורתופדיות או מדרסים, עבור נכי צה""ל?","https://www.kolzchut.org.il/he/נעליים_אורתופדיות,_מדרסים_ונעליים_מיוחדות_לנכי_צה""ל_וכוחות_הביטחון"
d0b36ab4,באילו דרכים מקום העבודה ותנאי העבודה צריכים להיות מותאמים על ידי המעסיק עבור אדם עם מוגבלויות?,https://www.kolzchut.org.il/he/התאמות_במקום_העבודה_לאנשים_עם_מוגבלויות
a98a7b90,האם טיפול עבור קהילות לנפגעי התמכרות לסמים חינם?,https://www.kolzchut.org.il/he/קהילות_טיפוליות_לנפגעי_התמכרות_לסמים
6ed4002b,זכויות לאוכל מיוחד בבתי חולים,https://www.kolzchut.org.il/he/מזון_לטבעונים_וצמחונים_בבתי_חולים
06c70bef,"מה אומר הקיצור תט""ר?",https://www.kolzchut.org.il/he/מענק_השתתפות_בתשלום_מס_הכנסה_לנפגעי_פעולת_איבה
2ed894b4,שכר טרחה תביעה גורמים משפיעים,https://www.kolzchut.org.il/he/הגבלת_שכר_טרחה_עבור_סיוע_או_ייצוג_בתביעה_לקצבת_נכות_ומענק_נכות_לנפגעי_עבודה
17c0aeaf,כמה עולים חיסונים לתינוקות?,https://www.kolzchut.org.il/he/חיסונים_לתינוקות_וילדים
6932e5fb,האם חולי אפילפסיה רשאים להוציא רישיון על כל כלי רכב?,https://www.kolzchut.org.il/he/רישיון_נהיגה_לחולי_אפילפסיה
043709ee,מה הם התנאים למימון תרופות לבני משפחה של חללי פעולות האיבה?,https://www.kolzchut.org.il/he/מימון_תרופות_לבני_משפחה_של_חלל_פעולת_איבה
4db9e261,איך אישה במקלט לנשים מוכות מצביעה בבחירות המקומיות,https://www.kolzchut.org.il/he/הצבעה_של_נשים_השוהות_במקלט_לנשים_מוכות_בבחירות_לרשויות_המקומיות
1ed5237d,"אני חיילת מילואים העוברת טיפולי פוריות, איך אני יכולה להשתחרר מהמילואים?",https://www.kolzchut.org.il/he/שחרור_חיילת_מילואים_העוברת_טיפולי_פוריות
dff9284a,מיקומים של מתקן שתייה למים קרים במתקנים ציבוריים,https://www.kolzchut.org.il/he/הצבת_מתקן_שתייה_למים_קרים_בבניינים_ציבוריים
